Vuosi,0-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80+
1953,21,28,47,47,45,47,28,26,17,9,3
1954,19,36,65,56,49,42,32,25,15,5,6
1955,20,37,43,57,50,47,33,25,14,7,4
1956,23,54,63,54,65,41,39,16,19,5,3
1957,24,46,45,43,49,51,36,24,17,4,4
1958,13,38,53,55,65,51,33,23,21,12,1
1959,25,34,37,55,51,47,35,31,21,5,7
1960,14,42,39,49,85,45,35,34,20,12,7
1961,17,32,47,47,78,43,26,32,25,11,8
1962,13,37,51,63,78,58,50,29,24,7,15
1963,20,34,48,51,60,57,32,34,21,12,10
1964,18,22,61,67,61,75,34,25,28,10,8
1965,14,31,58,78,73,65,38,39,17,21,13
1966,16,37,50,67,76,62,51,35,25,12,6
1967,12,32,53,67,75,61,48,22,20,13,6
1968,19,32,37,60,63,49,44,28,21,19,13
1969,19,25,45,60,49,53,43,38,29,12,6
1970,10,12,32,56,49,46,46,26,36,15,12
1971,12,20,31,41,33,55,47,29,29,19,12
1972,9,13,24,43,39,44,39,44,18,13,9
1973,11,14,21,10,32,35,44,43,24,12,8
1974,13,10,12,24,24,31,50,48,27,12,13
1975,13,7,13,14,39,41,46,37,37,12,10
1976,16,5,13,21,17,35,31,38,23,13,7
1977,15,4,10,12,25,36,31,33,38,17,13
1978,6,9,16,11,21,30,38,24,23,18,14
1979,11,10,11,9,14,24,24,38,37,12,12
1980,15,8,13,6,14,25,23,32,25,9,13
1981,20,9,17,15,6,20,34,35,35,16,17
1982,12,6,7,13,11,11,24,26,34,31,17
1983,14,8,3,10,16,20,15,28,28,21,18
1984,12,11,8,8,14,11,25,25,29,25,17
1985,10,8,5,16,9,11,23,17,26,25,15
1986,13,5,8,12,8,10,18,11,22,19,20
1987,10,12,9,12,9,10,11,22,21,10,18
1988,9,10,9,9,6,13,11,22,17,28,16
1989,11,7,16,10,12,11,15,15,15,20,30
1990,13,4,11,5,11,10,13,23,16,11,18
1991,8,7,15,7,1,5,12,14,20,14,26
1992,8,16,9,10,6,15,12,12,16,13,25
1993,17,16,12,14,7,9,8,19,20,12,20
1994,12,16,14,9,8,14,10,21,19,15,20
1995,20,19,16,22,17,10,11,17,16,17,14
1996,19,15,23,17,9,11,16,18,12,11,20
1997,21,14,12,21,11,10,11,9,12,14,22
1998,25,14,18,20,16,9,15,10,10,11,16
1999,23,13,17,17,10,6,12,8,21,18,15
2000,25,17,19,17,19,11,9,9,16,14,12
2001,21,13,12,16,8,15,11,11,17,14,21
2002,31,22,10,14,7,13,9,8,11,9,15
2003,27,14,7,17,5,12,11,12,17,14,33
2004,24,24,9,19,19,16,7,5,12,15,17
2005,16,16,19,13,11,11,5,7,12,6,13
2006,22,20,14,10,17,17,9,6,8,18,22
2007,30,9,14,10,6,14,8,12,8,10,24
2008,28,23,17,12,13,9,5,10,5,6,22
2009,31,15,24,12,11,10,13,6,7,8,19
2010,20,13,14,15,17,7,6,10,13,8,17
2011,28,28,21,12,12,12,5,8,10,6,22
2012,37,23,18,9,3,12,11,9,13,4,12
2013,20,26,21,11,15,16,8,12,10,15,12
2014,40,17,19,15,11,6,16,18,4,13,15
